metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
L-Alanine;Beta-alanine	LDHB	-0.160658137	-0.087793435	-0.003541331	0.086507579	0.330092577	0.915815665
D-Sorbitol	LDHB	-0.231542806	-0.110176182	7.22E-04	0.114219835	0.331589813	0.917657601
N2-Acetyl-L-lysine;N6-Acetyl-lysine	LDHB	-0.202564786	-0.061366498	-0.023681666	0.038857956	0.332141236	0.918231145
"D-Glucurono-6,3-lactone"	LDHB	-0.202225766	-0.077496342	-0.021321049	0.057951198	0.332368019	0.918494193
2-Deoxyadenosine 5-triphosphate	LDHB	-0.551467389	-0.181484722	0.031551156	0.221347627	0.335823938	0.921836204
L-Phenylalanine	LDHB	-0.161896533	-0.053471861	-0.012057681	0.043037491	0.335908243	0.92193408
Dehydroascorbic acid;cis-Aconitic acid	LDHB	-0.001488083	0.157257266	-0.033716657	0.201705963	0.343743944	0.929419133
D-Galactaric acid	LDHB	-0.182906516	-0.078230013	-0.020963823	0.060736695	0.345752602	0.930907799
L-Methionine	LDHB	-0.153747644	-0.154068008	-0.045012814	0.115735855	0.346051017	0.931154122
Creatine	LDHB	-0.017052618	0.070065463	-6.85E-04	0.075782282	0.350510686	0.934076106
