metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
3-Aminoisobutyric acid;L-2-Aminobutyric acid	ALDOA	-0.242482616	0.01093648	-0.027267865	0.127068897	0.763674909	0.99999496
3-Hydroxy-3-methylglutaric acid	ALDOA	-0.140345204	-0.011083946	-0.002764622	0.140421561	0.952756693	0.99999496
3-Hydroxybutyryl coenzyme A	ALDOA	-1.074612097	0.015753267	0.06030788	0.335211973	0.894260808	0.99999496
3-methyl-2-oxobutyrate	ALDOA	-0.301737946	-0.022535088	-0.01089795	0.047975898	0.808344596	0.99999496
3-Methyl-2-oxovaleric acid;4-Methyl-2-oxovaleric acid	ALDOA	-0.254433077	-0.026516108	0.00165696	0.045073457	0.531939654	0.99999496
"3,3-Dimethylacrylic acid"	ALDOA	-0.306824609	-0.048858071	-0.029881072	0.132535314	0.886144491	0.99999496
"3,4-Dihydroxyphenylacetic acid"	ALDOA	-0.009602257	0.05189563	-0.007108282	0.184611494	0.749263038	0.99999496
4-Phenylbutanoic acid	ALDOA	0.036259576	0.042551348	-0.016544143	0.100180175	0.555263009	0.99999496
"4,6-Dioxoheptanoic acid"	ALDOA	-0.288371281	-6.78E-04	-0.008295577	0.055220985	0.890282428	0.99999496
5-Hydroxy-L-tryptophan	ALDOA	-0.085518924	0.12872672	0.025080247	0.198649085	0.601839803	0.99999496
5-Methyltetrahydrofolic acid	ALDOA	-0.382466531	-0.035337982	0.011264558	0.152168575	0.759409736	0.99999496
Acetyl coenzyme A	ALDOA	-0.997950166	0.142274038	-0.043366561	0.374016088	0.619651807	0.99999496
Acetylamino-acetic acid	ALDOA	-0.149263468	-0.032021724	-0.040650891	0.162734919	0.957711265	0.99999496
Adenosine	ALDOA	-0.23586877	0.021519074	-0.008392168	0.095876908	0.755059175	0.99999496
"Adenosine 3,5-diphosphate"	ALDOA	-0.90972512	-0.031912444	-0.024112987	0.123388279	0.949598742	0.99999496
Adenosine triphosphate;Deoxyguanosine triphosphate	ALDOA	-2.293167815	0.136177924	-0.015531587	0.242262009	0.531170119	0.99999496
Adenylosuccinic acid	ALDOA	-1.215297344	-0.101360488	-0.020366598	0.152018329	0.59417875	0.99999496
AICAR	ALDOA	-0.257369434	-0.028153267	-0.071418722	0.121216151	0.721145605	0.99999496
Anserine	ALDOA	-0.330990653	-0.032585015	-0.027945443	0.048625798	0.923986144	0.99999496
Benzoate	ALDOA	-0.076175398	-0.030990689	-0.006101456	0.087555837	0.776205799	0.99999496
Biocytin	ALDOA	-0.240915792	-0.021846442	-0.01751799	0.051332463	0.932800486	0.99999496
Butyryl coenzyme A	ALDOA	-1.251841627	0.094815602	-0.014470509	0.172428188	0.526207096	0.99999496
Choline glycerophosphate	ALDOA	-0.654178099	-0.091157034	0.159693607	0.387254289	0.517135509	0.99999496
Citramalic acid;D-2-Hydroxyglutaric acid;L-2-Hydroxyglutaric acid;3-Hydroxyglutaric acid	ALDOA	-0.507706862	-0.07796129	-0.00799668	0.128426344	0.585902124	0.99999496
Coenzyme A	ALDOA	-1.211758251	-0.221581283	0.101348374	0.599102681	0.589871523	0.99999496
Cyclic AMP	ALDOA	-0.030409086	0.022235612	-0.008478362	0.12832702	0.810840836	0.99999496
D-Arabinonic acid	ALDOA	-0.348755267	-0.018540681	-0.018129999	0.043661121	0.992495103	0.99999496
D-Arabitol;Adonitol;D-Xylitol	ALDOA	-0.144300477	0.111861649	0.03784429	0.121675218	0.542975855	0.99999496
D-Cellobiose	ALDOA	-0.276606941	-0.029443476	-0.02933045	0.06426952	0.998596816	0.99999496
D-Glucosamine 6-phosphate	ALDOA	-0.641037336	0.057779236	-0.032196548	0.13384421	0.501429245	0.99999496
D-Glutamic acid	ALDOA	-0.114004272	-0.055195174	-0.056289382	0.127299788	0.99314185	0.99999496
D-Lactose;D-Maltose;Melibiose	ALDOA	-0.010547713	0.082588394	0.008404745	0.135591313	0.584301716	0.99999496
D-Sedoheptulose 7-phosphate	ALDOA	-0.557737939	-0.06278705	-0.062820652	0.159708429	0.999832128	0.99999496
Decanoic acid	ALDOA	0.075737644	-0.104517301	-0.043007715	0.176035116	0.726776595	0.99999496
Deoxyadenosine diphosphate	ALDOA	-0.75602834	-0.118766985	-0.051157471	0.200799568	0.736341938	0.99999496
Deoxyadenosine monophosphate	ALDOA	-0.100339594	-0.048013348	-0.03139963	0.109698588	0.879621704	0.99999496
Dimethylaminopurine	ALDOA	-0.201052217	0.014906357	0.028945225	0.168850758	0.933737319	0.99999496
DL-2-Amino-3-phosphonopropionic acid	ALDOA	-0.352878773	0.012963974	-0.015086768	0.0564972	0.619543165	0.99999496
DL-Homocysteine	ALDOA	-0.228718379	0.028446386	-0.010024852	0.063821302	0.546644276	0.99999496
DL-Mandelic acid	ALDOA	0.023443299	-0.036129719	0.009433928	0.226271808	0.840411714	0.99999496
Flavin adenine dinucleotide	ALDOA	-0.007944753	-0.002581119	-0.080468684	0.138951725	0.575113298	0.99999496
Flavin Mononucleotide	ALDOA	-0.164725286	-0.038838668	-0.017802898	0.096067994	0.826675351	0.99999496
Gamma-Glu-Cys	ALDOA	0.148543078	-0.084787817	-0.030111852	0.323121192	0.865629936	0.99999496
Glycerol 3-phosphate	ALDOA	-0.405169343	-0.026999257	8.02E-04	0.056213567	0.620913285	0.99999496
Guanine	ALDOA	-0.182279172	-0.005002801	0.021431217	0.121853844	0.82826121	0.99999496
Guanosine	ALDOA	-0.089729513	0.054489589	0.016767042	0.058649934	0.520106395	0.99999496
Guanosine 5-monophosphate	ALDOA	-0.856645211	0.177126384	0.199151117	0.223564646	0.92152243	0.99999496
Guanosine diphosphate mannose	ALDOA	-0.494282627	0.011622815	-0.022527179	0.087365766	0.695882014	0.99999496
Isovaleryl coenzyme A	ALDOA	-1.135112095	0.135860076	0.051184798	0.280246696	0.762541148	0.99999496
Ketoglutaric acid	ALDOA	-0.648495238	-0.150659994	-0.033989083	0.213260214	0.584322119	0.99999496
L-Arabitol;2-Deoxy-D-ribonic acid	ALDOA	-0.116916083	-0.045307735	-0.027452492	0.101742004	0.860690466	0.99999496
L-Aspartic acid;D-Aspartic acid	ALDOA	-0.22300616	-0.026213445	-0.014485291	0.071685546	0.870041674	0.99999496
L-Carnosine	ALDOA	-0.327613253	0.027202177	-6.03E-04	0.097492722	0.775489544	0.99999496
L-Citrulline	ALDOA	-0.338369407	-0.034999929	-0.014510994	0.034601218	0.55375357	0.99999496
L-Cysteic acid	ALDOA	-0.282558953	-0.038813525	-0.017460025	0.054629618	0.695887631	0.99999496
L-Gulonic acid gamma-lactone	ALDOA	-0.13976775	-0.041919274	-0.037623141	0.142738174	0.9759889	0.99999496
L-Lysine	ALDOA	-0.311486812	-6.68E-05	-0.026338925	0.047606442	0.581043111	0.99999496
L-Malic acid	ALDOA	-0.695694907	-0.138729045	-0.07870677	0.14332361	0.675370732	0.99999496
L-Methionine	ALDOA	-0.207389387	-0.084058685	-0.045012814	0.115735855	0.735837574	0.99999496
L-Ornithine;D-Ornithine	ALDOA	-0.373777807	-0.054711811	0.011362401	0.147431071	0.654030371	0.99999496
L-Serine;D-Serine	ALDOA	-0.337723531	-0.035633825	-0.014050661	0.061947159	0.727530422	0.99999496
L-Tryptophan	ALDOA	0.051242854	-0.019593248	0.009684947	0.093063912	0.753063031	0.99999496
L-Valine	ALDOA	-0.336233373	-0.002275552	-0.032267114	0.054222064	0.580178035	0.99999496
Maleic acid	ALDOA	-0.353311177	-0.008883956	-0.023219903	0.118324413	0.9035659	0.99999496
N-2-Furoylglycine	ALDOA	-0.415720547	0.048955829	0.019518066	0.053054663	0.578992323	0.99999496
N-a-Acetyl-L-ornithine	ALDOA	-0.54167118	-0.050885163	0.018365488	0.140769653	0.62275961	0.99999496
N-Acetyl-Asp-Glu	ALDOA	-0.848201343	-0.014825591	-0.053474939	0.139424324	0.781621443	0.99999496
N-Acetyl-L-alanine;Propionylglycine	ALDOA	-0.235225739	-0.050009106	-0.035184013	0.138467748	0.914737165	0.99999496
N-Acetyl-L-glutamic acid	ALDOA	-0.527573939	-0.062459983	-0.056982241	0.132705701	0.967074778	0.99999496
N-Formylanthranilic acid	ALDOA	0.223112813	-0.026237271	0.042432506	0.216062782	0.750619009	0.99999496
N-methyl-4-pyridone-3-carboxamide	ALDOA	-0.437634447	0.009738709	-0.014931284	0.077742688	0.750994131	0.99999496
N2-Acetyl-L-lysine;N6-Acetyl-lysine	ALDOA	-0.346274581	-0.045051985	-0.023681666	0.038857956	0.582346843	0.99999496
NADH	ALDOA	-0.736858466	0.19271382	0.088878397	0.887064184	0.906816358	0.99999496
Nicotinamide	ALDOA	-0.421726279	0.007063847	0.019536423	0.061070053	0.83817071	0.99999496
Octanoic acid	ALDOA	-0.033662647	0.034846787	-0.027450138	0.126921513	0.623546477	0.99999496
Phenethylamine	ALDOA	-0.337720655	-0.00951223	-0.032189758	0.122224457	0.852805497	0.99999496
Phosphocreatine	ALDOA	-0.352576332	0.005667414	0.008635642	0.104388083	0.977315566	0.99999496
Phosphoenolpyruvic acid	ALDOA	-1.869053701	-0.020756659	-0.010772253	0.134322812	0.94074667	0.99999496
Prostaglandin E2;Prostaglandin I2;Prostaglandin D2	ALDOA	0.004978048	-0.020867014	-0.041598358	0.129404277	0.872718786	0.99999496
Putrescine	ALDOA	-0.441907532	-0.216545998	-0.054179268	0.248852584	0.5141035	0.99999496
Pyridoxal 5-phosphate	ALDOA	-1.359436398	0.247292387	0.067792806	0.539884545	0.739528562	0.99999496
Pyridoxamine-5-phosphate	ALDOA	-0.306541126	-0.04920637	-0.042706714	0.057552062	0.910081897	0.99999496
S-(5-Adenosyl)-L-homocysteine	ALDOA	-0.30840573	-0.062765127	-0.028564091	0.202969306	0.866187199	0.99999496
S-Lactoylglutathione	ALDOA	-0.450530277	-0.142753928	-0.06668743	0.196087488	0.698074332	0.99999496
Stachyose	ALDOA	-0.346239641	-0.028724045	-0.018627558	0.063061052	0.87279714	0.99999496
Taurine	ALDOA	-0.460563338	-0.023542091	0.002624787	0.046158441	0.57078716	0.99999496
Thiamine	ALDOA	-0.173596063	0.1249083	0.00926001	0.210549006	0.582820049	0.99999496
Thiamine pyrophosphate	ALDOA	-0.39785085	0.017274796	-0.010121686	0.081379168	0.736379038	0.99999496
Thymidine 5-triphosphate	ALDOA	-3.641635463	0.088430734	0.071663792	0.20875358	0.935983309	0.99999496
Thymidine monophosphate	ALDOA	-0.270718564	-0.04991223	-0.053188984	0.127179154	0.979444884	0.99999496
Thymine	ALDOA	-0.038039351	0.054960161	0.008990482	0.126654207	0.716639085	0.99999496
Trans-beta-Hydromuconic acid	ALDOA	-0.322488695	-0.012329486	0.004821182	0.057538018	0.765645615	0.99999496
Urea	ALDOA	-0.14371219	0.009022347	0.021911294	0.134073144	0.923414388	0.99999496
Uric acid	ALDOA	-0.258460177	0.064542462	0.136218273	0.184246932	0.697261069	0.99999496
Uridine 5-diphosphoglucose;Uridine 5-diphosphogalactose	ALDOA	-0.785621262	-0.042175963	0.062164717	0.164412531	0.525671521	0.99999496
Xanthine	ALDOA	0.150192554	0.134102063	0.081799141	0.167426665	0.754741851	0.99999496
Inosine 5-monophosphate	ALDOB	2.341081693	2.571469354	0.043848931	0.121403627	2.85E-96	2.50E-93
Guanosine 5-monophosphate	ALDOB	-5.945420106	-4.380216478	0.199151117	0.223564646	3.03E-93	2.49E-90
Cytidine monophosphate	ALDOB	-3.449714286	-2.448438812	0.151852994	0.145517022	2.04E-71	1.21E-68
Uridine monophosphate	ALDOB	-1.657000463	-1.030429142	0.037993432	0.07161853	2.51E-50	1.03E-47
Xanthosine	ALDOB	-1.082587605	-0.737257653	0.007984256	0.058119177	1.22E-37	3.64E-35
Hypoxanthine	ALDOB	0.892109116	1.085432012	0.004945742	0.089250431	9.79E-34	2.50E-31
Hippuric acid	ALDOB	-1.378709451	-1.035404716	0.022552986	0.089612251	3.64E-32	8.58E-30
D-Glyceraldehyde 3-phosphate;Dihydroxyacetone phosphate	ALDOB	1.007253937	1.318864012	2.78E-04	0.122499984	5.09E-27	1.04E-24
Flavin Mononucleotide	ALDOB	0.694945348	0.886396288	-0.017802898	0.096067994	4.86E-21	7.35E-19
Glucono delta-lactone	ALDOB	0.354679098	0.662749577	0.00702778	0.08480033	1.05E-14	1.08E-12
Glyoxylate	ALDOB	0.353951177	0.65304905	0.002402196	0.088620717	2.11E-13	1.95E-11
Nicotinamide ribotide	ALDOB	-0.797581318	0.94284708	0.072306067	0.141697091	8.06E-10	5.32E-08
Citraconic acid	ALDOB	0.079664914	0.459142555	-0.020500043	0.078097877	8.17E-10	5.39E-08
5-Phospho-D-ribose 1-diphosphate	ALDOB	-2.077921007	1.626097119	0.090984727	0.253162246	1.33E-09	8.46E-08
4-Imidazoleacetic acid	ALDOB	-0.513088559	-0.221421786	0.016721076	0.039582766	1.78E-09	1.13E-07
L-a-Aspartyl-L-phenylalanine	ALDOB	-0.232682926	0.826777415	0.115003312	0.123722699	8.77E-09	5.00E-07
Guanosine	ALDOB	-0.48233228	-0.31785425	0.016767042	0.058649934	1.16E-08	6.56E-07
3-Hydroxy-3-methylglutaryl coenzyme A	ALDOB	-3.697618718	-0.805133184	-0.005737226	0.145384315	3.83E-08	1.99E-06
UDP-Glucuronate	ALDOB	-2.092178183	-0.681381297	-0.01244129	0.125142959	9.02E-08	4.45E-06
Glycerol 3-phosphate	ALDOB	-0.137904279	0.298764823	8.02E-04	0.056213567	1.15E-07	5.57E-06
NAD	ALDOB	-0.403451071	0.983069686	-0.012554282	0.188752259	1.33E-07	6.36E-06
Phosphoenolpyruvic acid	ALDOB	-0.985653056	0.690150861	-0.010772253	0.134322812	1.81E-07	8.46E-06
Orotidine 5-monophosphate	ALDOB	-0.749754271	1.178786232	0.022989282	0.224002094	2.47E-07	1.13E-05
D-Glucuronic acid	ALDOB	-0.282164758	0.152831712	-0.024862403	0.035990685	7.92E-07	3.36E-05
PIP3	ALDOB	-5.805044259	-1.622788827	0.022731055	0.33548432	9.35E-07	3.90E-05
"DL-3,4-Dihydroxymandelic acid"	ALDOB	-0.099731671	0.25977267	-0.01683746	0.057249709	1.35E-06	5.48E-05
2-Deoxycytidine	ALDOB	-1.146106952	-0.765886441	0.066439214	0.185599355	7.31E-06	2.54E-04
"D-Fructose 1,6-bisphosphate;D-Glucose 1,6-bisphosphate"	ALDOB	-1.116017125	0.628318068	-0.035118689	0.151155875	1.14E-05	3.78E-04
2-Deoxyadenosine 5-triphosphate	ALDOB	-3.980878449	1.001932277	0.031551156	0.221347627	1.17E-05	3.86E-04
D-Lactaldehyde	ALDOB	-0.183694737	0.258136094	-0.021659218	0.063825301	1.17E-05	3.86E-04
NADP	ALDOB	-1.446103125	0.789831656	0.010085447	0.178203043	1.21E-05	3.99E-04
Coenzyme A	ALDOB	-3.170645549	-2.513006904	0.101348374	0.599102681	1.28E-05	4.19E-04
DL-2-Amino-3-phosphonopropionic acid	ALDOB	-0.1966629	0.230508284	-0.015086768	0.0564972	1.38E-05	4.49E-04
2-Deoxyribose-5-phosphate	ALDOB	0.045665159	0.577945061	-0.017012334	0.136954525	1.40E-05	4.55E-04
Flavin adenine dinucleotide	ALDOB	-0.669165497	-0.658710777	-0.080468684	0.138951725	3.16E-05	9.42E-04
N-Acetyl-D-glucosamine 6-phosphate	ALDOB	-0.311665296	0.216027268	-0.004095949	0.053648556	4.08E-05	0.001181923
N-Acetylmuramic acid	ALDOB	-0.147291481	0.323837615	-0.014754678	0.083162511	4.67E-05	0.001328019
L-Aspartic acid;D-Aspartic acid	ALDOB	0.035031731	0.265673187	-0.014485291	0.071685546	9.30E-05	0.002414022
Nicotinamide hypoxanthine dinucleotide	ALDOB	-0.458528919	0.490411778	-0.002544117	0.127401437	1.09E-04	0.00277547
D-Fructose 6-phosphate;D-Galactose 1-phosphate;D-Glucose 1-phosphate;D-Glucose 6-phosphate;D-Mannose 1-phosphate;D-Mannose 6-phosphate	ALDOB	-0.326685112	0.476644559	-0.031837473	0.133491051	1.39E-04	0.003430565
L-Cysteine	ALDOB	-0.184877854	0.234080628	-0.030172168	0.070281816	1.70E-04	0.004079971
5-Methyluridine	ALDOB	-0.502306715	-0.220119575	0.023170685	0.065899259	2.23E-04	0.005129095
3-Sulfopyruvic acid	ALDOB	-0.406686037	1.066404382	0.18289104	0.24084133	2.44E-04	0.005527063
Acetoacetate;2-Ketobutyric acid	ALDOB	-0.058394485	0.213116346	-0.003236672	0.060659471	3.62E-04	0.007760734
Uridine	ALDOB	-1.128320667	-0.505983527	0.048285749	0.159366056	5.05E-04	0.010361738
Dephosphocoenzyme A	ALDOB	-1.20766254	-2.025079632	-0.048616423	0.582845242	6.96E-04	0.013547102
L-Cystine	ALDOB	-1.46365828	-0.644502243	0.027277682	0.198540544	7.15E-04	0.013854425
Thymidine 5-triphosphate	ALDOB	-3.909595852	-0.632730471	0.071663792	0.20875358	7.40E-04	0.014231832
Diadenosine triphosphate	ALDOB	-2.164094816	-0.973452993	0.008690444	0.293310506	8.13E-04	0.015356536
"3,5-Diiodo-L-tyrosine"	ALDOB	0.210846608	0.287418221	-0.014303738	0.094513342	0.001411084	0.024462193
N-Acetylneuraminic acid	ALDOB	-0.242952959	0.135507704	-0.020004711	0.048828258	0.001448113	0.024964284
L-Cystathionine	ALDOB	-0.252591655	0.11758008	-0.010574101	0.040662451	0.001623458	0.027394674
Guanosine diphosphate mannose	ALDOB	-1.089868462	-0.294999471	-0.022527179	0.087365766	0.001816178	0.030182058
4-Hydroxyphenylpyruvic acid	ALDOB	-0.048363081	0.228226737	-0.012745134	0.077325775	0.001831233	0.030365116
L-Arabinose;L-Ribulose;D-Xylose	ALDOB	-0.033588665	0.300675335	-0.007335515	0.098996567	0.001862476	0.030819002
Cyclic GMP	ALDOB	0.130655921	0.244594947	0.021792176	0.072169885	0.002020525	0.032780731
Oxaloacetic acid	ALDOB	-1.511842633	-0.5304105	-0.022072659	0.164693926	0.002024864	0.032820766
Inosine 5-triphosphate	ALDOB	-4.158651793	-0.842978044	0.002414691	0.276097889	0.00219914	0.035094193
N-Glycolylneuraminic acid	ALDOB	-0.264897643	0.133382804	-0.014467026	0.048605071	0.002351211	0.037060097
N-Acetyl-D-glucosamine 1-phosphate	ALDOB	-0.516785273	0.782436831	0.033601336	0.249158387	0.002651797	0.04092903
"2,3-Diphosphoglyceric acid"	ALDOB	-1.798045966	0.448621858	0.03087714	0.139404685	0.002729789	0.041824436
2-Oxoadipic acid	ALDOB	-0.24614283	0.112296744	-0.02053504	0.044946826	0.003123555	0.046754684
Succinic acid;Methylmalonic acid	ALDOB	-0.287463097	0.152292236	-0.016001134	0.057052112	0.003179608	0.047431777
CDP-ethanolamine	ALDOB	-0.278945979	0.13616892	-0.002177118	0.046905148	0.003183039	0.047469499
N-methyl-4-pyridone-3-carboxamide	ALDOB	-0.14883159	0.212038891	-0.014931284	0.077742688	0.003505876	0.051167319
Cysteamine	ALDOB	0.091087295	0.295681528	-0.01527192	0.106697867	0.003564459	0.051830778
Glutaric acid;Ethylmalonic acid	ALDOB	-0.225644434	0.159942515	-0.018057094	0.061613116	0.003864827	0.055032212
2-Deoxyguanosine 5-monophosphate	ALDOB	-0.46544299	-0.387147549	-0.026160347	0.125055638	0.003894132	0.055359591
L-Cysteic acid	ALDOB	-0.141082244	0.140126506	-0.017460025	0.054629618	0.003918672	0.05560329
NADH	ALDOB	-3.524587526	-2.46836582	0.088878397	0.887064184	0.003941356	0.055830321
"2,5-Dihydroxybenzaldehyde;4-Hydroxybenzoic acid"	ALDOB	-0.154118065	-0.382439894	0.033614555	0.148990867	0.005230523	0.069442024
S-(5-Adenosyl)-L-methionine	ALDOB	-0.19575272	0.653100499	0.002591492	0.241252861	0.007009798	0.08725184
3-Methylglutaconic acid	ALDOB	0.102663216	0.271606297	-0.012379775	0.105999007	0.007381175	0.090927918
Guanosine 5-triphosphate	ALDOB	-4.823636168	-1.067235323	0.020550486	0.411069808	0.008139413	0.098109296
DL-4-Hydroxy-3-methoxymandelic acid	ALDOB	-0.211758027	0.143394191	-0.019970016	0.062089898	0.00851111	0.10181982
Deoxycytidine triphosphate	ALDOB	-2.206725455	0.507262955	0.069367356	0.166792647	0.008654999	0.103142501
L-Malic acid	ALDOB	-0.950527592	-0.440193704	-0.07870677	0.14332361	0.011663234	0.129022559
L-Saccharopine	ALDOB	-0.281288402	0.10547126	-0.011725174	0.047384662	0.013387211	0.143278019
Metanephrine	ALDOB	-0.046127586	0.629601129	-0.014406598	0.264488932	0.014895341	0.154515673
Isovaleryl coenzyme A	ALDOB	-3.166465682	-0.631110354	0.051184798	0.280246696	0.014907298	0.154609219
L-Fucose 1-phosphate	ALDOB	-0.333812121	0.259562166	-0.049031861	0.129789255	0.017423134	0.172864317
Pyridoxal	ALDOB	-0.623492663	-0.486978484	0.088695135	0.243427276	0.01803645	0.177477044
L-Dihydroorotic acid	ALDOB	-0.499294351	0.247441966	0.018471652	0.097041499	0.018299124	0.179198348
2-Methylglutaric acid;3-Methylglutaric acid;Adipic acid	ALDOB	-0.377735599	0.093137099	-0.021002849	0.048415896	0.018398995	0.179881005
L-Threonine	ALDOB	-0.489791919	-0.147846509	-0.026316439	0.052101065	0.01967003	0.189026295
Uridine 5-triphosphate	ALDOB	-4.74115194	0.588364719	-0.008674552	0.260957409	0.022144503	0.205342062
N-Acetyl-Asp-Glu	ALDOB	-0.481957977	0.262332632	-0.053474939	0.139424324	0.023507628	0.214568562
Indole-3-acetic acid	ALDOB	-0.048376115	0.243863907	0.036589961	0.092714426	0.025376871	0.226724176
D-Arabinonic acid	ALDOB	-0.306735455	0.079084822	-0.018129999	0.043661121	0.0259756	0.230003402
Cytidine 5-diphosphate	ALDOB	-0.64266603	0.321812056	-0.038824386	0.16333168	0.027244234	0.237676693
Guanosine 5-diphosphate	ALDOB	-1.063185961	0.487919001	0.023224013	0.213439302	0.029467416	0.250630234
Deoxyadenosine diphosphate	ALDOB	-0.645270227	0.382985696	-0.051157471	0.200799568	0.03061261	0.257023397
N-Acetylputrescine	ALDOB	-0.12678847	0.466992658	-0.014579731	0.226895166	0.033800432	0.275375647
Malonyl coenzyme A	ALDOB	-3.662617836	-0.354587824	0.065434816	0.200736266	0.036401824	0.289969046
CDP-Glycerol	ALDOB	-0.46902744	0.185129819	0.023606017	0.077284116	0.0366178	0.291072512
Pyruvate	ALDOB	-0.422874455	-0.130898096	-0.013880068	0.057725654	0.042648015	0.323186326
Taurine	ALDOB	-0.255209162	0.096138658	0.002624787	0.046158441	0.042771735	0.32361117
Inosine	ALDOB	-0.274706733	-0.222445022	0.040260556	0.129788099	0.042958685	0.324258171
Adenosine diphosphate;Deoxyguanosine 5-diphosphate	ALDOB	-1.361448426	0.235867566	-0.041999394	0.142361499	0.050957127	0.363107869
D-Ribose 1-phosphate;D-Ribose 5-phosphate;D-Xylulose 5-phosphate	ALDOB	-0.058489232	0.211979898	-0.050101603	0.13476458	0.051806785	0.36745244
Uracil	ALDOB	-0.572638634	-0.201517878	0.01956782	0.115161187	0.054883989	0.381187732
Isovaleric acid	ALDOB	-0.395953954	0.059594768	-0.032348104	0.049181047	0.061556378	0.408981849
Adenosine 5-phosphosulfate	ALDOB	-0.310897791	-0.079910612	0.026269935	0.057257564	0.063676662	0.417741132
1-Methyl-L-histidine	ALDOB	-0.395319975	0.293134469	-0.014937963	0.166852039	0.064836906	0.422664968
Guanidineacetic acid	ALDOB	-0.32505618	-0.123440964	0.003704289	0.068913589	0.06503821	0.423452593
Homocitrulline	ALDOB	-0.3743448	-0.139184005	2.06E-04	0.07560217	0.065221835	0.423918807
L-Phenylalanine	ALDOB	-0.260901436	0.067233567	-0.012057681	0.043037491	0.065420141	0.424308611
Pyridoxamine-5-phosphate	ALDOB	-0.243667591	0.062880278	-0.042706714	0.057552062	0.066559881	0.428272175
Carnitine	ALDOB	-0.226768933	0.132927613	0.001665506	0.071956479	0.068123735	0.434719489
(4R)-4-Hydroxy-L-glutamic acid	ALDOB	-0.201929478	0.170567224	5.26E-04	0.093739803	0.069682575	0.440446784
D-3-Phosphoglyceric acid	ALDOB	-0.259672275	0.268209799	-0.012775794	0.156699583	0.072949212	0.451812813
L-Histidine	ALDOB	-0.357574162	-0.127236505	-0.006338209	0.067509521	0.073320052	0.453157935
